"name","team_name","group","appearances","goals","assists","minutes","total_contributions","contributions_per_90","efficiency_score"
"Dayne St. Clair","Canada","B","16","0","0","1440","0","0.0","0.0"
"Maxime Cr?peau","Canada","B","14","0","0","1186","0","0.0","0.0"
"Owen Goodman","Canada","B","34","0","0","3006","0","0.0","0.0"
"Derek Cornelius","Canada","B","21","2","1","1419","3","0.19","0.14"
"Joel Waterman","Canada","B","16","0","0","1009","0","0.0","0.0"
"Kamal Miller","Canada","B","10","0","0","575","0","0.0","0.0"
"Luc De Fougerolles","Canada","B","33","0","2","2092","2","0.09","0.06"
"Jahkeele Marshall-Rutty","Canada","B","15","0","0","1031","0","0.0","0.0"
"Richie Laryea","Canada","B","18","2","1","1597","3","0.17","0.17"
"Niko Sigur","Canada","B","43","2","4","3148","6","0.17","0.14"
"Ralph Priso","Canada","B","11","0","0","775","0","0.0","0.0"
"Isma?l Kon?","Canada","B","41","7","0","3247","7","0.19","0.17"
"Nathan-Dylan Saliba","Canada","B","48","4","2","3078","6","0.18","0.13"
"Jonathan Osorio","Canada","B","17","0","2","1182","2","0.15","0.12"
"Mathieu Choini?re","Canada","B","25","2","3","1331","5","0.34","0.2"
"Ali Ahmed","Canada","B","28","5","4","1801","9","0.45","0.32"
"Marcelo Flores","Canada","B","25","4","1","1220","5","0.37","0.2"
"Liam Millar","Canada","B","40","3","5","2192","8","0.33","0.2"
"Junior Hoilett","Canada","B","41","4","3","1482","7","0.43","0.17"
"Tajon Buchanan","Canada","B","47","7","1","2720","8","0.26","0.17"
"Jonathan David","Canada","B","52","11","5","2941","16","0.49","0.31"
"Tani Oluwaseyi","Canada","B","42","7","3","1851","10","0.49","0.24"
"Daniel Jebbison","Canada","B","42","6","2","2198","8","0.33","0.19"
"Cyle Larin","Canada","B","38","10","2","1646","12","0.66","0.32"
"Jacen Russell-Rowe","Canada","B","16","2","0","545","2","0.33","0.12"
"Aribim Pepple","Canada","B","0","0","0","0","0","0.0","0.0"
"Ra?l Rangel","Mexico","A","42","0","0","3780","0","0.0","0.0"
"Carlos Acevedo","Mexico","A","32","0","0","2860","0","0.0","0.0"
"Israel Reyes","Mexico","A","45","0","2","3772","2","0.05","0.05"
"Jes?s Gallardo","Mexico","A","48","9","6","3835","15","0.35","0.31"
"?rik Lira","Mexico","A","55","1","0","4356","1","0.02","0.02"
"Luis Romo","Mexico","A","31","1","2","2563","3","0.11","0.1"
"Gilberto Mora","Mexico","A","21","5","1","1439","6","0.38","0.29"
"Brian Guti?rrez","Mexico","A","21","3","2","1146","5","0.39","0.24"
"Alexis Vega","Mexico","A","30","4","11","1775","15","0.76","0.5"
"Roberto Alvarado","Mexico","A","37","4","5","2707","9","0.3","0.24"
"Armando Gonz?lez","Mexico","A","40","25","3","2597","28","0.97","0.7"
